"";"cod_com";"COMUNA";"ID_MANZ";"MANZ_EN";"ZONA";"ibt";"dim_acc";"iav";"icul";"idep";"isal";"iser";"ise";"dim_amb";"iata";"icv";"dim_soc";"ivi";"isv";"iej";"irh";"iem";"ipj";"dim_seg";"igpe";"igpr";"ilpe";"ilpr";"AREA";"TOTAL_V";"HOG_N";"PERSONAS";"E0A5";"E6A14";"E4A18";"E0A18";"E15A24";"E65YMAS"
"723";13114;13114;"13114081001007";"URBANO";"13114081001";0,813195417040306;0,745907660120967;19,0237186958469;0,10290388765812;1,34355364248407;0,354567422111641;0,675251199931971;0,918112262634671;0,466510851329082;14,530403137207;3,22776597685271;0,869602348406103;1;1;16,3;0,916666666666667;0,947368421052632;1;0,946559578477469;0,9696;0,9153;0,9707;0,9674;4832,07482105191;12;12;33;0;3;5;4;3;8
"724";13114;13114;"13114081001008";"URBANO";"13114081001";0,788630557747545;0,752015574445971;18,6626145130145;0,105882944867908;1,30939256854229;0,359403356172014;0,699260118305044;0,995860668670215;0,441183839607586;14,8414754867554;0;0,836683022130299;1;1;16,3;0,91304347826087;0,945945945945946;0,923076923076923;0,946559578477469;0,9696;0,9153;0,9707;0,9674;7178,77982997382;23;23;74;5;7;11;15;13;12
"725";13114;13114;"13114081001009";"URBANO";"13114081001";0,805068736503505;0,752680537482865;18,9010560253434;0,10705597999222;1,3300944620317;0,360449132686827;0,694370770394922;0,980918507587734;0,434007451367458;15,0196199417114;0;0,879255049647687;1;1;15,6;0,947368421052632;0,961538461538462;1;0,945388682559139;0,9668;0,9134;0,9701;0,971;7249,39703930728;20;19;54;2;4;7;8;5;17
"726";13114;13114;"13114081001010";"URBANO";"13114081001";0,803169268491976;0,75233451716661;18,8043209963935;0,108150256793484;1,31822192986277;0,358774556673376;0,691982330812533;0,976060749983381;0,449431021554523;14,9582633972168;3,57778723779098;0,860145916825118;1;1;15,4;0,941176470588235;0,942857142857143;1;0,945388682559139;0,9668;0,9134;0,9701;0,971;5764,50590742692;18;17;63;3;5;8;10;12;8
"727";13114;13114;"13114081001011";"URBANO";"13114081001";0,798219878452706;0,760963938028688;18,8279023056604;0,112100349371928;1,31197496518492;0,367982427928247;0,714732558962928;1,06263107411245;0,41866709852388;15,6320028305054;0;0,871775437397353;1;1;15,6;0,928571428571429;0,964285714285714;1;0,945388682559139;0,9668;0,9134;0,9701;0,971;9611,01244257383;14;14;44;2;8;13;13;4;2
"728";13114;13114;"13114081001012";"URBANO";"13114081001";0,768827945024516;0,748274356990666;NA;NA;NA;NA;NA;NA;0,426998509615919;15,5708990097046;1,57273231968041;0,812578919221542;NA;NA;NA;NA;NA;0,914961437558579;0,946559578477469;0,9696;0,9153;0,9707;0,9674;15906,7330824747;0;0;0;0;0;0;0;0;0
"729";13114;13114;"13114081001013";"URBANO";"13114081001";0,769037617113014;0,737110763779175;17,7941691584324;0,0977951310133294;1,2344201114515;0,348226309648355;0,666520775417296;0,91270432419224;0,488320380494669;14,8124303817749;18,8167463602312;0,762865666378243;1;0,995923359152059;15;0,813397129186603;0,942748091603053;0,9375;0,946559578477469;0,9696;0,9153;0,9707;0,9674;28736,551568797;223;209;471;28;40;65;87;64;77
"730";13114;13114;"13114081001014";"URBANO";"13114081001";0,821947951663504;0,746995178057617;18,5406715785686;0,101707954527839;1,29292020084826;0,357062505255539;0,685370982639927;0,971083703241118;0,443422346031112;14,7862691879272;0;0,91018041585374;1;1;16;1;0,956521739130435;1;0,946559578477469;0,9696;0,9153;0,9707;0,9674;4551,3369396748;14;13;40;2;3;5;6;3;9
"731";13114;13114;"13114081001015";"URBANO";"13114081001";0,799374400668469;0,748493938321357;19,1215067992723;0,103466559379742;1,34918184428;0,35825839043103;0,679793421314132;0,942112318843545;0,441315516456029;14,8355054855347;0;0,862876573619382;1;1;16;0,909090909090909;0,952380952380952;1;0,946559578477469;0,9696;0,9153;0,9707;0,9674;8340,13574417841;23;22;79;3;6;10;11;12;16
"732";13114;13114;"13114081001016";"URBANO";"13114081001";0,803624309594899;0,742376937320774;19,4355589084705;0,0996113811704318;1,3890831639441;0,357199630147561;0,654657968275773;0,869242443526481;0,47377385959716;14,1536226272583;0;0,834889448364838;1;0,954545454545454;15,8;0,9;0,95;1;0,957225708483507;0,9775;0,9285;0,9776;0,9766;6475,86301223779;20;20;80;4;6;10;13;19;11
